uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
12,402961001555,Tecumseh High School,4029610,Tecumseh,2/24/2000,1999-2000,2000,9:00 AM,Thursday,Tecumseh,Oklahoma,public,711,0,0,0,targeted,19,m,,former boyfriend of student,0,,,,,,,,527,8,12,2,162,,,0,,,35.255494,-96.943184,45.5,9,12,184,Pottawatomie County,40,40125,32
13,260450004135,Buell Elementary School,2604500,Beecher Community School District,2/29/2000,1999-2000,2000,10:00 AM,Tuesday,Mount Morris Township,Michigan,public,459,1,0,1,targeted,6,m,b,student,0,,,,,,,,125,261,37,0,1,,,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20,KG,4,421,Genesee County,26,26049,21
14,401521000713,Hugo High School,4015210,Hugo,4/6/2000,1999-2000,2000,12:00 PM,Thursday,Hugo,Oklahoma,public,499,0,1,1,targeted,33,f,,parent of student,0,,,,,,,,263,117,11,1,107,,,1,small-caliber pistol,legally purchased by shooter,34.010732,-95.511435,34.7,9,12,236,Choctaw County,40,40023,33
15,040146000077,Carmichael Elementary School,0401460,Sierra Vista Unified District,5/10/2000,1999-2000,2000,1:30 PM,Wednesday,Sierra Vista,Arizona,public,397,1,0,1,targeted,39,m,,spouse of teacher,1,suicide,,,,,,,178,51,154,8,6,,,0,,,31.56269,-110.29924,24.5,KG,5,,Cochise County,04,04003,13
16,120150002873,Lake Worth Middle School,1201500,Palm Beach County School District,5/26/2000,1999-2000,2000,3:00 PM,Friday,Lake Worth,Florida,public,1525,1,0,1,targeted,13,m,b,student,0,,,,,,,,414,560,528,17,6,,,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95,6,8,1186,Palm Beach County,12,12099,21
17,530723002564,Dimmitt Middle School,5307230,Renton,7/17/2000,1999-2000,2000,10:30 AM,Monday,Renton,Washington,public,956,0,0,0,indiscriminate,13,m,w,student in summer school,0,,,,,,,,276,375,73,218,14,,,0,.22-caliber handgun,grandparents,47.493015,-122.233115,42.3,6,8,,King County,53,53033,21
18,390444101350,Mount Healthy North Junior High,3904441,Mount Healthy City SD,9/18/2000,2000-2001,2000,,Monday,Mount Healthy,Ohio,public,341,0,0,0,indiscriminate,14,m,,student,0,,,,,,,,149,192,0,0,0,,,1,.380-caliber semiautomatic handgun,relatives,39.251506,-84.555558,22.8,7,8,163,Hamilton County,39,39061,21
19,220117000980,Carter G. Woodson Middle School,2201170,Orleans Parish School Board,9/26/2000,2000-2001,2000,12:00 PM,Tuesday,New Orleans,Louisiana,public,686,0,1,1,targeted,13,m,,student,0,,,,,,,,0,685,1,0,0,,,0,.38-caliber revolver,,29.939676,-90.090046,45,6,8,551,Orleans Parish,22,22071,11
20,062927004519,Hueneme High School,0629270,Oxnard Union High,1/10/2001,2000-2001,2001,12:50 PM,Wednesday,Oxnard,California,public,2764,0,0,0,targeted,17,m,h,not a student but often hung around the school,1,killed by police,,,,,,,311,124,2145,134,50,,,1,handgun,,34.160149,-119.1822,110.2,9,12,1169,Ventura County,06,06111,12
21,240009000263,Lake Clifton Eastern High School,2400090,Baltimore City Public Schools,1/17/2001,2000-2001,2001,8:45 AM,Wednesday,Baltimore,Maryland,public,2236,1,0,1,targeted,19,m,,none,0,,,,,,,,24,2205,2,4,1,,,0,.32-caliber handgun,,39.316116,-76.590038,126.5,PK,12,914,Baltimore City,24,24510,11
22,481623021205,Pearl C. Anderson Middle School,4816230,Dallas ISD,2/6/2001,2000-2001,2001,,Tuesday,Dallas,Texas,public,879,0,1,1,targeted,14,m,,student (suspended),0,,,,,,,,3,793,82,0,1,,,1,small revolver,,32.759323,-96.744389,89.3,7,8,607,Dallas County,48,48113,11
23,061623002026,Santana High School,0616230,Grossmont Union High,3/5/2001,2000-2001,2001,9:20 AM,Monday,Santee,California,public,1894,2,13,15,indiscriminate,15,m,w,student,0,,,,,,,,1591,24,174,58,8,,,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202,San Diego County,06,06073,21
24,1195358,Bishop Neumann Junior-Senior High,,,3/7/2001,2000-2001,2001,12:00 PM,Wednesday,Williamsport,Pennsylvania,private,227,0,1,1,targeted,14,f,w,student,0,,,,,,,,208,10,5,4,0,,,0,.22-caliber revolver,father,41.249266,-76.996564,21.125,7,12,,Lycoming County,42,42081,13
25,061623002020,Granite Hills High School,0616230,Grossmont Union High,3/22/2001,2000-2001,2001,1:00 PM,Thursday,El Cajon,California,public,2846,0,5,5,targeted and indiscriminate,18,m,,student,0,,,,,,,,2256,67,376,66,50,,,1,Mossberg pump-action 12-gauge shotgun,,32.800101,-116.916889,112.2,9,12,436,San Diego County,06,06073,21
26,180387000637,Lew Wallace High School,1803870,Gary Community School Corp,3/30/2001,2000-2001,2001,8:15 AM,Friday,Gary,Indiana,public,1179,1,0,1,targeted,17,m,,former student (expelled),0,,,,,,,,2,1135,39,3,0,,,1,pistol,,41.536645,-87.34132,64,9,12,446,Lake County,18,18089,13
27,220108001296,Monroe City Alternative Center,2201080,City of Monroe School Board,4/20/2001,2000-2001,2001,7:20 AM,Friday,Monroe,Louisiana,public,65,0,0,0,targeted,14,m,,student,0,,,,,,,,,,,,,,,0,.380 caliber semi-automatic pistol,,32.524187,-92.070624,,,,,Ouachita Parish,22,22073,13
28,481854001737,Ennis High School,4818540,Ennis ISD,5/15/2001,2000-2001,2001,12:00 PM,Tuesday,Ennis,Texas,public,1279,0,0,0,hostage suicide,16,m,,student,1,suicide,,,,,,,692,202,383,2,0,,,0,.357 Magnum pistol,,32.305062,-96.629758,93.7,9,12,447,Ellis County,48,48139,41
29,062271007751,Belmont High School,0622710,Los Angeles Unified,7/30/2001,2000-2001,2001,7:20 AM,Monday,Los Angeles,California,public,5264,0,1,1,targeted,,m,,,0,,,,,,,,27,98,4679,456,4,,,1,revolver,,34.061499,-118.263286,194.3,9,12,4046,Los Angeles County,06,06037,11
30,210135000271,Latonia Elementary School,2101350,Covington Independent,9/12/2001,2001-2002,2001,3:00 PM,Wednesday,Covington,Kentucky,public,526,1,0,1,targeted,30,f,w,parent of student,0,,,,,,,,441,81,0,1,3,,,0,.380-caliber semiautomatic pistol,,39.044149,-84.49833,16.8,KG,5,350,Kenton County,21,21117,21
31,060003206330,Redondo Union High School,0600032,Redondo Beach Unified,10/26/2001,2001-2002,2001,10:00 AM,Friday,Redondo Beach,California,public,2069,0,1,1,accidental,16,m,,student,0,,,,,,,,1199,121,518,216,15,,,0,.38-caliber handgun,,33.844274,-118.384456,94.4,9,12,465,Los Angeles County,06,06037,21
32,260804000994,Caro Learning Center,2608040,Caro Community Schools,11/12/2001,2001-2002,2001,2:40 PM,Monday,Caro,Michigan,public,151,0,0,0,targeted,17,m,,student,1,suicide,,,,,,,126,2,23,0,0,,,0,20-guage shotgun,legally purchased by shooter,43.458011,-83.438553,,9,12,6,Tuscola County,26,26157,32
33,362058002029,"Martin Luther King, Jr. High School",3620580,New York City Public Schools,1/15/2002,2001-2002,2002,2:00 PM,Tuesday,New York City,New York,public,2258,0,2,2,targeted,17,m,,student,0,,,,,,,,49,1223,949,29,8,,,0,Lorcin .380-caliber semiautomatic pistol,illegally purchased,40.774262,-73.985021,97.7,9,12,1831,New York County,36,36061,11
34,062271003034,Gardena High School,0622710,Los Angeles Unified,2/6/2002,2001-2002,2002,2:50 PM,Wednesday,Los Angeles,California,public,3198,0,2,2,targeted,17,m,,student,0,,,,,,,,77,1381,1492,244,4,,,0,pistol,,33.866342,-118.296704,133.2,9,12,1941,Los Angeles County,06,06037,11
35,240051000982,Benjamin Tasker Middle School,2400510,Prince George's County Public Schools,10/7/2002,2002-2003,2002,8:09 AM,Monday,Bowie,Maryland,public,1371,0,1,1,indiscriminate,,m,b,none,0,,,,,,,,562,706,47,52,4,,,0,Bushmaster XM-15 rifle,stolen,38.957407,-76.746341,73.7,7,8,197,Prince George's County,24,24033,21
36,340783002776,Lincoln High School,3407830,Jersey City,10/29/2002,2002-2003,2002,8:30 AM,Tuesday,Jersey City,New Jersey,public,986,0,1,1,targeted,15,m,,student,0,,,,,,,,9,722,208,43,4,,,1,Browning .380-caliber pistol,,40.716783,-74.070502,102,9,12,495,Hudson County,34,34017,11
37,753892,St. James Catholic School,,,11/7/2002,2002-2003,2002,12:30 PM,Thursday,Liberty,Missouri,private,297,1,1,2,targeted,41,m,,parent of student,0,,,,,,,,287,4,5,1,0,,,0,revolver,legally purchased by shooter,39.240746,-94.45515,,KG,8,,Clay County,29,29047,21
38,440090000232,Mount Pleasant High School,4400900,Providence School District,1/22/2003,2002-2003,2003,,Wednesday,Providence,Rhode Island,public,1641,0,0,0,targeted,,m,,student,0,,,,,,,,247,396,831,155,12,,,0,22-caliber semi-automatic,,41.837981,-71.45125,,9,12,1097,Providence County,44,44007,12
39,080723001239,Ranum High School,0807230,Westminster 50,2/5/2003,2002-2003,2003,8:40 AM,Wednesday,Westminster,Colorado,public,1434,0,0,0,targeted,14,m,,student,0,,,,,,,,539,18,748,112,17,,,1,small semi-automatic handgun,,39.841774,-105.015495,68,9,12,524,Adams County,08,08001,21
40,110003000082,Cardozo High School,1100030,District Of Columbia Pub Schls,4/1/2003,2002-2003,2003,12:15 PM,Tuesday,Washington,District of Columbia,public,749,0,1,1,targeted,15,m,,student,0,,,,,,,,6,530,183,28,2,,,1,handgun,,38.922338,-77.029756,,9,12,427,District of Columbia,11,11001,11
41,220117000928,John McDonogh High School,2201170,Orleans Parish School Board,4/14/2003,2002-2003,2003,10:30 AM,Monday,New Orleans,Louisiana,public,1260,1,3,4,targeted,19,m,,none,0,,17,m,,none,,,10,1241,9,0,0,,,1,AK-47 and semiautomatic pistol,,29.974421,-90.075733,63,8,12,843,Orleans Parish,22,22071,11
42,060003907541,Delhi Middle School,0600039,Delhi Unified,4/15/2003,2002-2003,2003,8:15 AM,Tuesday,Delhi,California,public,394,0,1,1,targeted,,m,,,0,,,,,,,,101,7,273,13,0,,,0,handgun,,37.426801,-120.792392,18,6,8,270,Merced County,06,06047,23
43,422010004597,Red Lion Area Junior High School,4220100,Red Lion Area SD,4/24/2003,2002-2003,2003,7:30 AM,Thursday,Red Lion,Pennsylvania,public,965,1,0,1,targeted,14,m,w,student,1,suicide,,,,,,,949,6,5,5,0,,,1,".44-caliber handgun, .22-caliber gun to kill himself",stepfather,39.893809,-76.609728,46,7,8,156,York County,42,42133,22
44,280447000830,Vicksburg High School,2804470,Vicksburg Warren School Dist,9/10/2003,2003-2004,2003,2:30 PM,Wednesday,Vicksburg,Mississippi,public,1121,1,0,1,targeted,20,m,,,0,,,,,,,,388,719,9,5,0,,,0,handgun,,32.323263,-90.885251,63.8,9,12,540,Warren County,28,28149,32
45,530825001388,Lewis and Clark High School,5308250,Spokane School District,9/22/2003,2003-2004,2003,11:10 AM,Monday,Spokane,Washington,public,1992,0,0,0,indiscriminate,16,m,w,student,0,,,,,,,,1701,116,64,71,40,,,0,9 millimeter semiautomatic pistol,home,47.652394,-117.419841,92,9,12,545,Spokane County,53,53063,12
46,270944000388,Rocori High School,2709440,Rocori,9/24/2003,2003-2004,2003,11:38 AM,Wednesday,Cold Spring,Minnesota,public,831,2,0,2,targeted,15,m,w,student,0,,,,,,,,813,3,8,7,0,,,0,.22 caliber pistol,father,45.466258,-94.426618,48,8,12,100,Stearns County,27,27145,31
47,370090000337,Burns Middle School,3700900,Cleveland County Schools,9/25/2003,2003-2004,2003,8:00 AM,Thursday,Lawndale,North Carolina,public,1049,0,0,0,indiscriminate,13,m,,student,0,,,,,,,,786,240,20,3,0,,,1,9mm handgun,,35.425762,-81.539104,63,6,8,510,Cleveland County,37,37045,31
48,061233007702,Rio Cazadero High School,0612330,Elk Grove Unified,10/1/2003,2003-2004,2003,9:00 AM,Wednesday,Sacramento,California,public,317,0,2,2,targeted,,m,,multiple officers,0,,,,,,,,27,105,91,88,5,,,0,officer weapons,police,38.469639,-121.435306,10.8,9,12,99,Sacramento County,06,06067,21
217,370297001214,East Mecklenburg High School,3702970,Charlotte-Mecklenburg Schools,11/13/2003,2003-2004,2003,11:45 AM,Thursday,Charlotte,North Carolina,public,2275,0,1,1,accidental,15,m,,student,0,,,,,,,,997,990,198,82,8,,,1,.25-caliber handgun,,35.175976,-80.756579,113,9,12,709,Mecklenburg County,37,37119,11
49,110003000084,Ballou High School,1100030,District Of Columbia Pub Schls,2/2/2004,2003-2004,2004,10:30 AM,Monday,Washington,District of Columbia,public,1090,1,1,2,targeted,18,m,b,student,0,,,,,,,,0,1084,2,2,2,,,1,.380-caliber pistol,puchased by shooter and friends,38.839005,-77.001667,68,9,12,897,District of Columbia,11,11001,11
50,360963000731,Columbia High School,3609630,East Greenbush Central School District,2/9/2004,2003-2004,2004,10:30 AM,Monday,East Greenbush,New York,public,1455,0,1,1,indiscriminate,16,m,w,student,0,,,,,,,,1390,28,6,31,0,,,0,12-gauge Winchester shotgun,,42.62068,-73.690848,,9,12,,RENSSELAER,36,36083,21
51,421899003675,T.M. Peirce Elementary School,4218990,Philadelphia City SD,2/11/2004,2003-2004,2004,8:30 AM,Wednesday,Philadelphia,Pennsylvania,public,453,1,1,2,targeted,19,m,b,none,0,,20,m,b,none,0,,2,445,4,2,0,,,1,"carbine rifle, assault weapon",,39.998621,-75.168248,26,KG,5,450,Philadelphia County,42,42101,11
52,062805012992,Castlemont High School,0628050,Oakland Unified,6/9/2004,2003-2004,2004,12:22 PM,Wednesday,Oakland,California,public,1467,0,2,2,targeted,,,,,0,,,,,,,,9,736,631,83,1,,,0,,,37.75982,-122.16302,56.5,9,12,340,Alameda County,06,06001,11
53,173291003406,Proviso East High School,1732910,Proviso Twp H S Dist 209,8/30/2004,2004-2005,2004,2:30 PM,Monday,Maywood,Illinois,public,2068,1,0,1,targeted,,m,b,none,0,,,,,,,,44,1506,497,9,10,,,1,handgun,,41.88062,-87.83382,110,9,12,637,Cook County,17,17031,21
54,180387000649,Wirt High School,1803870,Gary Community School Corp,9/15/2004,2004-2005,2004,,Wednesday,Gary,Indiana,public,792,0,0,0,indiscriminate,,m,,student,0,,,,,,,,10,769,11,2,0,,,0,handgun,,41.60997,-87.26145,49.7,9,12,394,Lake County,18,18089,13
55,240009001561,Thurgood Marshall High School,2400090,Baltimore City,10/21/2004,2004-2005,2004,4:00 PM,Thursday,Baltimore,Maryland,public,502,0,2,2,targeted,16,m,,student,0,,,,,,,,6,493,2,0,1,,,1,handgun,,39.31911,-76.54552,22,9,11,296,Baltimore City,24,24510,11
56,220117000973,Booker T. Washington High School,2201170,Orleans Parish,11/12/2004,2004-2005,2004,12:00 PM,Friday,New Orleans,Louisiana,public,383,0,1,1,targeted,28,f,,security guard,0,,,,,,,,2,381,0,0,0,,,1,.38-caliber revolver,department issued,29.94966,-90.08893,36.8,8,12,308,Orleans Parish,22,22071,11
57,A9902648,Emmanuel Christian Academy,,,12/7/2004,2004-2005,2004,3:00 PM,Tuesday,Jackson,Mississippi,private,128,0,1,1,accidental,28,f,,,0,,,,,,,,0,128,0,0,0,,,0,.22 caliber handgun,,32.288835,-90.196049,11,PK,8,,Hinds County,28,28049,12
58,173123003295,Woodruff High School,1731230,Peoria School District 150,1/26/2005,2004-2005,2005,,Wednesday,Peoria,Illinois,public,1012,0,0,0,targeted,15,m,b,student,0,,,,,,,,336,602,60,14,0,,,0,handgun,,40.70725,-89.57513,65,9,12,606,Peoria County,17,17143,12
59,170993005072,Bowen High School,1709930,City Of Chicago School Dist 299,2/8/2005,2004-2005,2005,2:32 PM,Tuesday,Chicago,Illinois,public,215,0,1,1,targeted,,,,,0,,,,,,,,2,167,46,0,0,,,0,,,41.73354,-87.557742,45.7,11,12,212,Cook County,17,17031,11
60,470318001337,Maplewood Comprehensive High School,4703180,Nashville-Davidson County SD,3/9/2005,2004-2005,2005,2:00 PM,Wednesday,Nashville,Tennessee,public,1119,0,1,1,targeted,16,m,,former student (expelled),0,,,,,,,,219,868,21,11,0,,,0,handgun,,36.22912,-86.74568,63,9,12,,Davidson County,47,47037,11
61,273051001303,Red Lake High School,2730510,Red Lake,3/21/2005,2004-2005,2005,2:49 PM,Monday,Red Lake,Minnesota,public,331,7,7,14,indiscriminate,16,m,ai,former student,1,suicide,,,,,,,0,0,0,0,331,,,1,".40 caliber Glock 23 pistol, 870 12 gauge pump-action shotgun",grandfather,47.8509,-95.0629,31.1,9,12,295,Beltrami County,27,27007,43
62,481275000769,Canton High School,4812750,Canton ISD,4/7/2005,2004-2005,2005,9:20 AM,Thursday,Canton,Texas,public,533,0,1,1,targeted,45,m,w,father of football player,0,,,,,,,,484,16,29,1,3,,,0,.45-caliber pistol,legally purchased by shooter,32.54958,-95.86617,39.4,9,12,79,Van Zandt County,48,48467,32
63,422583001736,Highland Elementary School,4225830,West Shore SD,5/17/2005,2004-2005,2005,3:00 PM,Tuesday,Lower Allen Township,Pennsylvania,public,445,1,0,1,targeted,47,m,,dating mother of student,1,suicide,,,,,,,403,23,10,9,0,,,0,9 mm semiautomatic handgun,,40.21999,-76.95256,24.2,KG,5,35,Cumberland County,42,42041,21
64,470210000681,Maury Middle School,4702100,Jefferson County School District,8/25/2005,2005-2006,2005,9:30 AM,Thursday,Jacksboro,Tennessee,public,609,0,1,1,accidental,14,m,,student,0,,,,,,,,594,9,4,2,0,,,0,".38-caliber Smith & Wesson, .22-caliber handgun",guardian (uncle),36.0213,-83.4041,34.7,6,8,314,Jefferson County,47,47089,41
65,120048004192,Sojourner Truth High School,1200480,Duval County School District,9/2/2005,2005-2006,2005,12:50 PM,Friday,Jacksonville,Florida,public,123,0,1,1,targeted,,m,,,0,,,,,,,,9,110,4,0,0,,,0,handgun,,30.27037,-81.61618,7,9,12,62,Duval County,12,12031,11
66,170993000851,Harlan Community Academy High School,1709930,City Of Chicago Sd 299,9/13/2005,2005-2006,2005,2:20 PM,Tuesday,Chicago,Illinois,public,1381,0,1,1,targeted,15,m,,student,0,,,,,,,,0,1381,0,0,0,,,1,.25-caliber handgun,,41.7184,-87.62085,101.6,7,12,959,Cook County,17,17031,11
67,291191000440,Farmington High School,2911910,Farmington R-VII,10/11/2005,2005-2006,2005,8:00 AM,Tuesday,Farmington,Missouri,public,1160,0,0,0,indiscriminate,17,m,w,student,0,,,,,,,,1126,18,7,8,1,,,0,single-shot shotgun,father,37.78108,-90.43619,68.6,9,12,344,St. Francois County,29,29187,32
68,263039006677,Saginaw High School,2630390,Saginaw City School District,10/20/2005,2005-2006,2005,12:00 PM,Thursday,Saginaw,Michigan,public,1178,0,1,1,targeted,15,m,,student,0,,,,,,,,16,1128,34,0,0,,,1,.380-caliber handgun,stolen,43.40713,-83.92541,58,9,12,823,Saginaw County,26,26145,13
69,470042000117,Campbell County High School,4700420,Campbell County School Distrct,11/8/2005,2005-2006,2005,2:00 PM,Tuesday,Jacksboro,Tennessee,public,1440,1,2,3,targeted and indiscriminate,15,m,w,student,0,,,,,,,,1429,0,6,5,0,,,0,.22-caliber pistol,,36.35086,-84.14832,79.4,9,12,851,Campbell County,47,47013,32
70,261200004670,Central High School,2612000,Detroit City School District,12/6/2005,2005-2006,2005,1:30 PM,Tuesday,Detroit,Michigan,public,1205,0,1,1,indiscriminate,18,m,,,0,,,,,,,,5,1194,0,1,5,,,0,,,42.38469,-83.11269,55.2,8,12,897,Wayne County,26,26163,11
71,550960001256,Mary McLeod Bethune Academy,5509600,Milwaukee Sch Dist,1/11/2006,2005-2006,2006,12:30 PM,Wednesday,Milwaukee,Wisconsin,public,366,0,1,1,indiscriminate,18,m,,,0,,,,,,,,14,311,4,35,2,,,0,,,43.05063,-87.95774,24,PK,7,321,Milwaukee County,55,55079,11
72,120171001868,Milwee Middle School,1201710,Seminole County School District,1/13/2006,2005-2006,2006,9:30 AM,Friday,Longwood,Florida,public,1121,1,0,1,targeted,,m,w,SWAT officer,0,,,,,,,,635,158,309,18,1,,,1,high-powered rifle,police issued,28.68172,-81.34669,76,6,8,569,Seminole County,12,12117,21
73,510081000299,Indian River High School,5100810,Chesapeake City Public Schools,1/18/2006,2005-2006,2006,11:00 AM,Wednesday,Chesapeake,Virginia,public,1836,0,0,0,targeted,19,m,,,0,,,,,,,,733,957,53,69,6,,,0,,,36.79721,-76.24185,126,9,12,427,Chesapeake City,51,51550,21
74,064059009648,Will C. Wood High School,0640590,Vacaville Unified,1/23/2006,2005-2006,2006,9:45 AM,Monday,Vacaville,California,public,2138,0,1,1,accidental,14,m,,student,0,,,,,,,,1271,233,394,161,27,,,0,small revolver,,38.34635,-121.97421,85.8,9,12,398,Solano County,06,06095,23
75,482034002033,Lakeview Centennial High School,4820340,Garland ISD,1/27/2006,2005-2006,2006,,Friday,Garland,Texas,public,2175,0,2,2,accidental,16,m,,student,0,,,,,,,,630,755,674,108,8,,,0,small-caliber semiautomatic handgun,,32.85566,-96.57589,157.1,9,12,994,Dallas County,48,48113,21
76,421917000420,Westinghouse High School,4219170,Pittsburgh SD,2/21/2006,2005-2006,2006,7:45 AM,Tuesday,Pittsburgh,Pennsylvania,public,562,0,1,1,targeted,23,m,,,0,,,,,,,,1,561,0,0,0,,,1,AK-47,,40.4607,-79.90059,41.2,9,12,374,Allegheny County,42,42003,11
77,411071000300,Roseburg High School,4110710,Douglas County SD 4,2/23/2006,2005-2006,2006,7:45 AM,Thursday,Roseburg,Oregon,public,2052,0,1,1,targeted,14,m,w,student,0,,,,,,,,1844,12,111,45,40,,,1,large-caliber handgun with hollow-point bullets,,43.208,-123.34712,92,8,12,689,Douglas County,41,41019,33
78,320048000211,Pine Middle School,3200480,Washoe,3/14/2006,2005-2006,2006,9:00 AM,Tuesday,Reno,Nevada,public,868,0,2,2,indiscriminate,14,m,w,student,0,,,,,,,,502,19,293,40,14,,,0,.38-caliber pistol,father,39.47981,-119.78186,40,7,8,286,Washoe County,32,32031,12
79,062271003429,Venice High School,0622710,Los Angeles Unified,6/5/2006,2005-2006,2006,3:10 PM,Monday,Los Angeles,California,public,3210,1,0,1,targeted,21,m,b,,0,,,,,,,,413,336,2173,269,19,,,0,handgun,,33.99881,-118.44282,129.2,9,12,2063,Los Angeles County,06,06037,11
80,370348001447,Orange High School,3703480,Orange County Schools,8/30/2006,2006-2007,2006,1:00 PM,Wednesday,Hillsborough,North Carolina,public,1150,0,2,2,indiscriminate,19,m,h,former student,0,,,,,,,,776,290,55,6,3,,,0,"9 mm rifle, a Mossburg 12-gauge sawed-off shotgun",,36.09233,-79.09337,66.7,9,12,276,Orange County,37,37135,41
81,481970008026,South Hills High School,4819700,Fort Worth ISD,9/8/2006,2006-2007,2006,1:20 PM,Friday,Fort Worth,Texas,public,1417,0,1,1,targeted,,m,,resource officer,0,,,,,,,,103,242,1053,19,0,,,1,handgun,police issued weapon,32.65726,-97.36,86.7,9,12,921,Tarrant County,48,48439,11
